journal,publisher,impact_factor,issn,url
Behavioural neurology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25861158
Journal of the Medical Association of Thailand = Chotmaihet thangphaet,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25536713
Behavioural neurology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25530675
Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25027640
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/27748740
Journal of autism and developmental disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/24272415
Science translational medicine,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/22993294
Child psychiatry and human development,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/28004215
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/39419042
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/28759262
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/24502859
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/23480324
Bipolar disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/23437959
Journal of affective disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/23044285
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/22152402
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21823912
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21813076
Pediatrics,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19948625
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21663425
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/20473067
Current medical research and opinion,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/20429835
Journal of the American Academy of Child and Adolescent Psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19797985
CNS spectrums,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19407731
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19192475
The British journal of psychiatry : the journal of mental science,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19118324
Journal of affective disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/22209190
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/20973712
The American journal of psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/18381903
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/18204335
Psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16810506
Pharmacotherapy,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/31063671
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25369243
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/24018545
