pmid,doi,title,pub_date,abstract,authors,journal,keywords,url,affiliations
25861158,10.1155/2015/928631,The short-term effects of transcranial direct current stimulation on electroencephalography in children with autism: a randomized crossover controlled trial.,2015-01-01,"Abnormal synaptic maturation and connectivity are possible etiologies of autism. Previous studies showed significantly less alpha activity in autism than normal children. Therefore, we studied the effects of anodal tDCS on peak alpha frequency (PAF) related to autism treatment evaluation checklist (ATEC). Twenty male children with autism were randomly assigned in a crossover design to receive a single session of both active and sham tDCS stimulation (11 mA) over F3 (left dorsolateral prefrontal cortex). Pre- to postsession changes in a measure of cortical activity impacted by tDCS (PAF) and ATEC were compared between groups. We also examined the associations between pre- and postsession changes in the PAF and ATEC. The results show significant pre- to postsession improvements in two domains of ATEC (social and health/behavior domains) following active tDCS, relative to sham treatment. PAF also significantly increased at the stimulation site, and an increase in PAF was significantly associated with improvements in the two domains of ATEC impacted by tDCS. The findings suggest that a single session of anodal tDCS over the F3 may have clinical benefits in children with autism and that those benefits may be related to an increase in PAF.","Amatachaya Anuwat, Jensen Mark P, Patjanasoontorn Niramol, Auvichayapat Narong, Suphakunpinyo Chanyut, Janjarasjitt Suparerk, Ngernyam Niran, Aree-uea Benchaporn, Auvichayapat Paradee",Behavioural neurology,"Autistic Disorder, Child, Child, Preschool, Cross-Over Studies, Electric Stimulation Therapy, Electroencephalography, Humans, Male, Neuropsychological Tests, Prefrontal Cortex, Time Factors, Transcranial Direct Current Stimulation, Transcranial Magnetic Stimulation, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/25861158,"Department of Physiology, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand.; Department of Rehabilitation Medicine, University of Washington, 1959 NE Pacific Street, P.O. Box 356490, Seattle, WA 98195-6490, USA.; Department of Psychiatry, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand.; Department of Electrical and Electronic Engineering, Faculty of Engineering, Ubon Ratchathani University, Ubon Ratchathani 34190, Thailand.; Department of Pediatrics, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand."
25536713,,Reduction of spasticity in cerebral palsy by anodal transcranial direct current stimulation.,2014-09-01,"To evaluate the anti-spasticity effects of anodal transcranial direct current stimulation (tDCS) in individuals with spastic cerebral palsy (CP). Forty-six children and adolescents with cerebral palsy were randomly assigned to either active (1 mA anodal) or sham (placebo) tDCS over the left primary motor cortex (Ml) on five consecutive days. Both group also received routine physical therapy. Measures of spasticity and passive range of motion (PROM) were administered before treatment, immediately after treatment, and at 24- and 48-hours follow-up. Participants assigned to active tDCS treatment evidenced significantly more pre- to immediately post-treatment reductions in spasticity than participants assigned to the sham (p = 0.004, p<O. 001l, andp = 0.004 for shoulder wrist, and fingers respectively) and these improvement in spasticity maintainedfor at least 48 hours for wrist joints (p = 0.023). There was only one participant in the active tDCS condition developed erythematous rash. However, all participants tolerated the tDCS well without any serious adverse events. Anodal tDCS appeared to reduce CP-relatedspasticity (but not PROM) in the short term. Researches examine the long term benefits of this intervention on spasticity are warranted.","Aree-uea Benchaporn, Auvichayapat Narong, Janyacharoen Taweesak, Siritaratiwat Wantana, Amatachaya Anuwat, Prasertnoo Jitlada, Tunkamnerdthai Orathai, Thinkhamrop Bandit, Jensen Mark P, Auvichayapat Paradee",Journal of the Medical Association of Thailand = Chotmaihet thangphaet,"Adolescent, Cerebral Palsy, Female, Humans, Male, Muscle Spasticity, Physical Therapy Modalities, Transcranial Direct Current Stimulation, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/25536713,
25530675,10.1155/2014/173073,Effect of anodal transcranial direct current stimulation on autism: a randomized double-blind crossover trial.,2014-01-01,"The aim of this study was to evaluate the Childhood Autism Rating Scale (CARS), Autism Treatment Evaluation Checklist (ATEC), and Children's Global Assessment Scale (CGAS) after anodal transcranial direct current stimulation (tDCS) in individuals with autism. Twenty patients with autism received 5 consecutive days of both sham and active tDCS stimulation (1 mA) in a randomized double-blind crossover trial over the left dorsolateral prefrontal cortex (F3) for 20 minutes in different orders. Measures of CARS, ATEC, and CGAS were administered before treatment and at 7 days posttreatment. The result showed statistical decrease in CARS score (P < 0.001). ATEC total was decreased from 67.25 to 58 (P < 0.001). CGAS was increased at 7 days posttreatment (P = 0.042). Our study suggests that anodal tDCS over the F3 may be a useful clinical tool in autism.","Amatachaya Anuwat, Auvichayapat Narong, Patjanasoontorn Niramol, Suphakunpinyo Chanyut, Ngernyam Niran, Aree-Uea Benchaporn, Keeratitanont Keattichai, Auvichayapat Paradee",Behavioural neurology,"Autistic Disorder, Child, Child, Preschool, Cross-Over Studies, Double-Blind Method, Humans, Male, Prefrontal Cortex, Psychiatric Status Rating Scales, Transcranial Direct Current Stimulation",https://www.ncbi.nlm.nih.gov/pubmed/25530675,"Department of Physiology, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand.; Department of Psychiatry, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand.; Department of Pediatrics, Faculty of Medicine, Khon Kaen University, Khon Kaen 40002, Thailand."
25027640,10.1016/J.Clinph.2014.05.034,The effects of transcranial direct current stimulation in patients with neuropathic pain from spinal cord injury.,2015-02-01,"Transcranial direct current stimulation (tDCS) has demonstrated efficacy for reducing neuropathic pain, but the respective mechanisms remain largely unknown. The current study tested the hypothesis that pain reduction with tDCS is associated with an increase in the peak frequency spectrum density in the theta-alpha range. Twenty patients with spinal cord injury and bilateral neuropathic pain received single sessions of both sham and anodal tDCS (2 mA) over the left primary motor area (M1) for 20 min. Treatment order was randomly assigned. Pre- to post-procedure changes in pain intensity and peak frequency of electroencephalogram spectral analysis were compared between treatment conditions. The active treatment condition (anodal tDCS over M1) but not sham treatment resulted in significant decreases in pain intensity. In addition, consistent with the study hypothesis, peak theta-alpha frequency (PTAF) assessed from an electrode placed over the site of stimulation increased more from pre- to post-session among participants in the active tDCS condition, relative to those in the sham tDCS condition. Moreover, we found a significant association between a decrease in pain intensity and an increase in PTAF at the stimulation site. The findings are consistent with the possibility that anodal tDCS over the left M1 may be effective, at least in part, because it results in an increase in M1 cortical excitability, perhaps due to a pain inhibitory effect of motor cortex stimulation that may influence the descending pain modulation system. Future research is needed to determine if there is a causal association between increased left anterior activity and pain reduction. The results provide new findings regarding the effects of tDCS on neuropathic pain and brain oscillation changes.","Ngernyam Niran, Jensen Mark P, Arayawichanon Preeda, Auvichayapat Narong, Tiamkao Somsak, Janjarasjitt Suparerk, Punjaruk Wiyada, Amatachaya Anuwat, Aree-uea Benchaporn, Auvichayapat Paradee",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Adult, Aged, Cross-Over Studies, Double-Blind Method, Electroencephalography, Evoked Potentials, Motor, Female, Humans, Male, Middle Aged, Motor Cortex, Neuralgia, Spinal Cord Injuries, Transcranial Direct Current Stimulation, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/25027640,"Department of Pediatrics, Faculty of Medicine, Khon Kaen University, Khon Kaen, 40002 Thailand.; Department of Rehabilitation Medicine, University of Washington, Seattle, USA.; Department of Physiology, Faculty of Medicine, Khon Kaen University, Khon Kaen, 40002 Thailand.; Department of Rehabilitation Medicine, Faculty of Medicine, Khon Kaen University, Khon Kaen, 40002 Thailand.; Department of Medicine, Faculty of Medicine, Khon Kaen University, Khon Kaen, 40002 Thailand.; Department of Physiology, Faculty of Medicine, Khon Kaen University, Khon Kaen, 40002 Thailand. Electronic address: aparad@kku.ac.th.; Department of Electrical and Electronic Engineering, Faculty of Engineering, UbonRatchathani University, UbonRatchathani, 34190 Thailand."
27748740,10.1038/Npp.2016.237,"Arbaclofen in Children and Adolescents with Autism Spectrum Disorder: A Randomized, Controlled, Phase 2 Trial.",2017-06-01,"Several lines of emerging data point to an imbalance between neuronal excitation and inhibition in at least a subgroup of individuals with autism spectrum disorder (ASD), including in those with fragile X syndrome (FXS), one of the most common genetic syndromes within ASD. In animal models of FXS and of ASD, GABA-B agonists have improved both brain and behavioral phenotypes, including social behavior. A phase 2 randomized, placebo-controlled, crossover trial found that the GABA-B agonist arbaclofen improved social avoidance symptoms in FXS. A pilot open-label trial of arbaclofen suggested similar benefits in ASD. We therefore evaluated arbaclofen in a randomized, placebo-controlled, phase 2 study of 150 participants, aged 5-21 years, with ASD. No difference from placebo was detected on the primary outcome measure, the parent-rated Aberrant Behavior Checklist Social Withdrawal/Lethargy subscale. However, a specified secondary analysis found improvement on the clinician-rated Clinical Global Impression of Severity. An exploratory post hoc analysis of participants with a consistent rater across the trial revealed greater improvement in the Vineland Adaptive Behavior Scales II socialization domain in participants receiving arbaclofen. Affect lability (11%) and sedation (9%) were the most common adverse events. In this exploratory study, secondary analyses suggest that arbaclofen may have the potential to improve symptoms in some children with ASD, but further study will be needed to replicate and extend these initial findings.","Veenstra-VanderWeele Jeremy, Cook Edwin H, King Bryan H, Zarevics Peter, Cherubini Maryann, Walton-Bowen Karen, Bear Mark F, Wang Paul P, Carpenter Randall L",Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,"Adolescent, Autism Spectrum Disorder, Baclofen, Child, Child, Preschool, Cross-Over Studies, Female, GABA-B Receptor Agonists, Humans, Male, Treatment Outcome, Young Adult",https://www.ncbi.nlm.nih.gov/pubmed/27748740,"Seaside Therapeutics, Cambridge, MA, USA.; Autism Speaks, New York, NY, USA.; Department of Psychiatry and Behavioral Sciences, University of Washington, Seattle Children's Hospital, Seattle, WA, USA.; Department of Psychiatry, Columbia University, New York, NY, USA.; The Picower Institute for Learning and Memory, Massachusetts Institute of Technology, Cambridge, MA, USA.; Department of Psychiatry, University of Illinois at Chicago, Chicago, IL, USA.; Simons Foundation Autism Research Initiative, New York, NY, USA."
24272415,10.1007/S10803-013-1963-Z,STX209 (arbaclofen) for autism spectrum disorders: an 8-week open-label study.,2014-04-01,"STX209 (arbaclofen), a selective GABA-B agonist, is hypothesized to modulate the balance of excitatory to inhibitory neurotransmission, and has shown preliminary evidence of benefit in fragile X syndrome. We evaluated its safety, tolerability, and efficacy in non-syndromic autism spectrum disorders, in an 8-week open-label trial enrolling 32 children and adolescents with either Autistic Disorder or Pervasive Developmental Disorder-Not Otherwise Specified, and a score ≥17 on the Aberrant Behavior Checklist (ABC)-Irritability subscale. STX209 was generally well-tolerated. The most common adverse events were agitation and irritability, which typically resolved without dose changes, and were often felt to represent spontaneous variation in underlying symptoms. Improvements were observed on several outcome measures in this exploratory trial, including the ABC-Irritability (the primary endpoint) and the Lethargy/Social Withdrawal subscales, the Social Responsiveness Scale, the CY-BOCS-PDD, and clinical global impression scales. Placebo-controlled study of STX209 is warranted.","Erickson Craig A, Veenstra-Vanderweele Jeremy M, Melmed Raun D, McCracken James T, Ginsberg Lawrence D, Sikich Linmarie, Scahill Lawrence, Cherubini Maryann, Zarevics Peter, Walton-Bowen Karen, Carpenter Randall L, Bear Mark F, Wang Paul P, King Bryan H",Journal of autism and developmental disorders,"Adolescent, Akathisia, Drug-Induced, Baclofen, Child, Child Development Disorders, Pervasive, Female, GABA-B Receptor Agonists, Humans, Irritable Mood, Male, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/24272415,"Division of Child and Adolescent Psychiatry, Cincinnati Children's Hospital Medical Center, Cincinnati, OH, USA."
22993294,10.1126/Scitranslmed.3004214,"Effects of STX209 (arbaclofen) on neurobehavioral function in children and adults with fragile X syndrome: a randomized, controlled, phase 2 trial.",2012-09-19,"Research on animal models of fragile X syndrome suggests that STX209, a γ-aminobutyric acid type B (GABA(B)) agonist, might improve neurobehavioral function in affected patients. We evaluated whether STX209 improves behavioral symptoms of fragile X syndrome in a randomized, double-blind, placebo-controlled crossover study in 63 subjects (55 male), ages 6 to 39 years, with a full mutation in the FMR1 gene (>200 CGG triplet repeats). We found no difference from placebo on the primary endpoint, the Aberrant Behavior Checklist-Irritability (ABC-I) subscale. In the other analyses specified in the protocol, improvement was seen on the visual analog scale ratings of parent-nominated problem behaviors, with positive trends on multiple global measures. Post hoc analysis with the ABC-Social Avoidance scale, a newly validated scale for the assessment of fragile X syndrome, showed a significant beneficial treatment effect in the full study population. A post hoc subgroup of 27 subjects with more severe social impairment showed improvements on the Vineland II-Socialization raw score, on the ABC-Social Avoidance scale, and on all global measures. STX209 was well tolerated, with 8% incidences of sedation and of headache as the most frequent side effects. In this exploratory study, STX209 did not show a benefit on irritability in fragile X syndrome. Nonetheless, our results suggest that GABA(B) agonists have potential to improve social function and behavior in patients with fragile X syndrome.","Berry-Kravis Elizabeth M, Hessl David, Rathmell Barbara, Zarevics Peter, Cherubini Maryann, Walton-Bowen Karen, Mu Yi, Nguyen Danh V, Gonzalez-Heydrich Joseph, Wang Paul P, Carpenter Randall L, Bear Mark F, Hagerman Randi J",Science translational medicine,"Adolescent, Adult, Baclofen, Behavior, Child, Female, Fragile X Syndrome, Humans, Male, Nervous System, Neuropsychological Tests, Reproducibility of Results, Treatment Outcome, Young Adult",https://www.ncbi.nlm.nih.gov/pubmed/22993294,"Department of Pediatrics, Rush University Medical Center, Chicago, IL 60612, USA."
28004215,10.1007/S10578-016-0704-X,"Aripiprazole in the Treatment of Irritability in Children and Adolescents with Autism Spectrum Disorder in Japan: A Randomized, Double-blind, Placebo-controlled Study.",2017-10-01,"We evaluated the efficacy and safety of aripiprazole in the treatment of irritability in children and adolescents (6-17 years) with autism spectrum disorder (ASD) in a randomized, double-blind, placebo-controlled 8-week study in Japan. Patients received flexibly dosed aripiprazole (1-15 mg/day) or placebo. Ninety-two patients were randomized to placebo (n = 45) or aripiprazole (n = 47). Aripiprazole produced a significant improvement in the mean parent/caregiver-rated Aberrant Behavior Checklist Japanese Version irritability subscale score relative to placebo from week 3 through week 8. Administration of aripiprazole provided significantly greater improvement in the mean clinician-rated Clinical Global Impression-Improvement scores than placebo from week 2 through week 8. All patients randomized to aripiprazole completed the study, and no serious adverse events were reported. Three patients in placebo group discontinued. Aripiprazole was effective and generally safe and well-tolerated in the treatment of irritability associated with ASD in Japanese children and adolescents.","Ichikawa Hironobu, Mikami Katsunaka, Okada Takashi, Yamashita Yushiro, Ishizaki Yuko, Tomoda Akemi, Ono Hiroaki, Usuki Chiharu, Tadori Yoshihiro",Child psychiatry and human development,"Adolescent, Antipsychotic Agents, Aripiprazole, Autism Spectrum Disorder, Child, Double-Blind Method, Female, Humans, Irritable Mood, Japan, Male, Parents, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/28004215,"Tokyo Metropolitan Children's Medical Center, Fuchu, Tokyo, Japan.; Research Center for Child Mental Development, University of Fukui, Fukui, Japan.; Department of Clinical Research and Development, Otsuka Pharmaceutical Co., Ltd., Minato-ku, Tokyo, Japan.; Department of Medical Affairs, Otsuka Pharmaceutical Co., Ltd., Minato-ku, Tokyo, Japan. Tadori.Yoshihiro@otsuka.jp.; Department of Child and Adolescent Psychiatry, Nagoya University Graduate School of Medicine, Nagoya, Aichi, Japan.; Department of Pediatrics and Child Health, Kurume University School of Medicine, Kurume, Fukuoka, Japan.; Department of Psychiatry, Tokai University School of Medicine, Isehara, Kanagawa, Japan.; Department of Pediatrics, Kansai Medical University Medical Center, Moriguchi, Osaka, Japan."
39419042,10.1089/Cap.2024.0078,"Extension and Further Replication of the Reliability, Criterion Validity, and Treatment Sensitivity of the PANSS10 and PANSS20 for Pediatric Trials.",2024-12-01,"<b><i>Introduction:</i></b> The Positive and Negative Syndrome Scale (PANSS) is a widely accepted outcome measure for pediatric schizophrenia trials; however, it has notable limitations. Psychometric investigations have shown a multifactorial structure and some items have limited utility assessing symptom severity in children. To address these issues, we developed and evaluated optimized 10- and 20-item PANSS short-forms (PANSS10 and PANSS20) using patient-level clinical trial data. This study further assesses these optimized forms using independent clinical trial data. <b><i>Methods:</i></b> We examined patient-level data from a randomized pediatric schizophrenia trial comparing paliperidone ER to aripiprazole. Data were accessed through the Yale Open Data Access (YODA) secure platform. Analyses included confirmatory factor analyses, graded response models, ω score reliability, internal consistency, sensitivity to change, and criterion validity versus the Clinical Global Impressions of Severity (CGI-S). Bland-Altman analyses examined score calibration versus the 30-item PANSS and inclusion cut scores. <b><i>Results:</i></b> Participants (<i>N</i> = 288) were ages 12 to 17 years (<i>M</i> = 15.3, SD = 1.46; 66% male). Total scores for the PANSS10 and PANSS20 showed strong correlations with the 30-item PANSS (0.90 and 0.97, respectively). Average inter-item correlations were 0.10 and 0.14 and ω<sup>Total</sup> reliabilities were 0.74 and 0.85. Both PANSS10 and PANSS20 scores showed reliability >0.80-2.3 to 4.5 SD and -3.0 to 6.0 SD about mean symptom severity, respectively. Sensitivity to treatment was also similar (partial <i>eta</i> squared 0.23 and 0.22), as was correlation with CGI-S at baseline (0.45 and 0.48; not significantly different). The mean item-average discrepancy with the 30-item PANSS was 0.095 for PANSS10 and 0.033 for PANSS20. <b><i>Conclusions:</i></b> The optimized PANSS forms continue to show impressive reliability, validity, and calibration compared with the 30-item PANSS. Researchers should consider replacing the 30-item PANSS with the PANSS10 as a clinical outcome and screening measure due to its length and psychometric performance.","Langfus Joshua A, Youngstrom Eric A, Daniel David, Busner Joan, Findling Robert L",Journal of child and adolescent psychopharmacology,"Humans, Child, Male, Reproducibility of Results, Adolescent, Female, Aripiprazole, Psychometrics, Antipsychotic Agents, Psychiatric Status Rating Scales, Schizophrenia, Paliperidone Palmitate, Severity of Illness Index",https://www.ncbi.nlm.nih.gov/pubmed/39419042,"Signant Health, Wayne, Pennsylvania, USA.; Virginia Commonwealth University, Richmond, VA, USA.; University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA."
28759262,10.1089/Cap.2016.0160,A Double-Blind and Placebo-Controlled Trial of Aripiprazole in Symptomatic Youths at Genetic High Risk for Bipolar Disorder.,2017-12-01,"To determine if acute treatment with aripiprazole (APZ) would be superior to treatment with placebo in reducing dysfunctional symptoms of elevated mood and/or irritability in symptomatic children and adolescents at familial high risk for bipolar disorder (BPD) whose mood episodes occur spontaneously. These are patients we have previously referred to as suffering from ""cyclotaxia."" This was single-site, randomized, double-blind, placebo-controlled outpatient clinical trial in which youths aged 5-17 years who met diagnostic criteria for either cyclothymic disorder (CYC) or BPD not otherwise specified (BP-NOS) were randomly assigned to receive either APZ or placebo. Eligible participants had at least one parent with BPD, another first- or second-degree relative afflicted with a mood disorder, and also had not responded to psychotherapy. Treatment with APZ was initiated at a dose of approximately 0.1 mg/kg/day and could be increased by approximately 0.05 mg/kg/day at each study visit. Patients were seen weekly for 4 weeks and then every other week thereafter for 12 weeks. The primary outcome measure was mean change from baseline on Young Mania Rating Scale (YMRS) total score. A total of 59 patients (30 APZ, 29 placebo) aged 11.8 (SD = 2.7) years were randomized and returned for at least one postbaseline assessment. The mean total daily doses of active APZ and placebo were 7.1 mg (SD = 3.7) and 7.4 mg (SD = 4.2), respectively. At the 12-week time point, APZ was superior to placebo on the primary outcome measure (p < 0.005). Most adverse events were mild and transient in nature. There was a significant difference in weight gain from baseline between patients who received APZ (2.3 kg [SD = 3.3]) and those who received placebo (0.7 kg [SD = 1.8]). This double-blind trial found that APZ was significantly more efficacious than placebo in reducing symptoms of mania in children and adolescents with cyclotaxia.","Findling Robert L, Youngstrom Eric A, Rowles Brieana M, Deyling Elizabeth, Lingler Jacqui, Stansbrey Robert J, McVoy Molly, Lytle Sarah, Calabrese Joseph R, McNamara Nora K",Journal of child and adolescent psychopharmacology,"Adolescent, Age Factors, Antipsychotic Agents, Aripiprazole, Bipolar Disorder, Child, Child of Impaired Parents, Child, Preschool, Double-Blind Method, Female, Genetic Predisposition to Disease, Humans, Male, Risk Factors",https://www.ncbi.nlm.nih.gov/pubmed/28759262,"2 Department of Psychology and Neuroscience, University of North Carolina at Chapel Hill , Chapel Hill, North Carolina.; 3 Department of Psychiatry and Behavioral Sciences, The Johns Hopkins School of Medicine , Baltimore, Maryland.; 1 Department of Psychiatry and Behavioral Sciences, The Johns Hopkins University and The Kennedy Krieger Institute , Baltimore, Maryland.; 4 Department of Psychiatry, Case Western Reserve University , Cleveland, Ohio."
