treatment_id,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
1,low risk - Computer generated randomization in 1:1 ratio in blocks of four randomizations.,"Unclear risk - The tDCS was masked by opaque cover during stimulation. Power indicator was lit up during active and sham stimulation. ""However, in sham simulation the current was discontinued after 30 seconds while the power indicator remained.""","Unclear risk - The authors state the trial was ""double blinded"", but do not specify who was blinded.","Unclear risk - The authors state the trial was ""double blinded"", but do not specify who was blinded.","High risk - Statistical data on rates of adverse effects was not provided. CGI-severity baseline scores provided, but no endpoint scores. ","Unclear risk - Authors state that there were no adverse effects, but do not include data for this. ",
2,Low risk - centrally generated randomization list,Low Risk - Identical oral disintegrating tablets of arbaclofen or placebo. The titration schedule was the same for placebo and arbaclofen.,,Unclear risk ,Low risk - All data reported. ,"Low risk - All outcome measures were reported, even insignificant findings. Serious adverse effects were stated and dropouts due to adverse effects were also noted. ","Three authors received research funding and have consulted for seaside therapeutics. MC, KW-B, PPW, and RLC were employees of Seaside Therapeutics at the time of the study. MFB and RLC wre co-founders of Seaside Therapeutics. "
3,,,,,,,
4,,,,,,,
5,Low risk - Computer generated at central location.,Unclear risk - Not reported. ,Unclear risk - ,Low risk - Participants and clinicians were blinded to the treatment allocation,Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",
6,Low risk - Computer generated at central location.,Unclear risk - Not reported. ,Unclear risk - ,Low risk - Participants and clinicians were blinded to the treatment allocation,Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",
7,Low risk - Computer generated at central location.,Unclear risk - Not reported. ,Unclear risk - ,Low risk - Participants and clinicians were blinded to the treatment allocation,Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",
8,Low risk - Computer generated at central location.,Unclear risk - Not reported. ,Unclear risk - ,Low risk - Participants and clinicians were blinded to the treatment allocation,Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",
9,,,,,,,
10,unclear risk - randomization method not noted,low risk - Drugs were formulated in identical capsules and instructions were the same. ,low risk - All research personnel were blinded to treatment and dose. ,"low risk - Physicians, participants, and families were blinded to treatment allocation and dose. ",,,
