"treatment_id","outcome_type","area","measures","results"
"1","primary","","CARS, ATEC, CGAS, CGI-I","Greater pre to posttreatment decrease in CARS score that was maintained for 7 days post treatment (end of trial). Significant improvement CGI-I in the tDCS compared to sham group. Significant change in in total ATEC, health and behavioral problems, sociability, and sensory/cognitive awareness. No change in language ATEC. Statistical increase in CGAS in the active group compared to the sham group. "
"2","primary","Social behaviors. ","ABC-C Social withdrawal/Lethargy","No significant difference between the arbaclofen and placebo tx groups. "
"3","primary","Social behaviors. ","ABC lethargy/social withdrawal","No significant improvement with treatment. "
"4","primary","Social behaviors. ","ABC lethargy/social withdrawal","No significant improvement with treatment. "
"3","primary","Irritability in fragile x syndrome (FXS)","ABC-irritability","No significant improvement in ABC scores with treatment. "
"4","primary","Irritability in fragile x syndrome (FXS)","ABC-irritability","No significant improvement in ABC scores with treatment. "
"5","primary","Irritability","Caregiver-rated ABC-I irritability subscale score ","Flexible dose aripiprazole is shown to reduce varying symptoms of irritability in children with ASD-- as measured by ABC-I. "
"6","primary","Irritability","Caregiver-rated ABC-I irritability subscale score ","Flexible dose aripiprazole is shown to reduce varying symptoms of irritability in children with ASD-- as measured by ABC-I. "
"7","primary","Irritability","Caregiver-rated ABC-I irritability subscale score ","Flexible dose aripiprazole is shown to reduce varying symptoms of irritability in children with ASD-- as measured by ABC-I. "
"8","primary","Irritability","Caregiver-rated ABC-I irritability subscale score ","Flexible dose aripiprazole is shown to reduce varying symptoms of irritability in children with ASD-- as measured by ABC-I. "
"5","primary","","Relapse time during maitenance therapy. ","The difference in time to relapse between aripiprozole and placebo, during maintenance therapy, was not statistically significant. "
"6","primary","","Relapse time during maitenance therapy. ","The difference in time to relapse between aripiprozole and placebo, during maintenance therapy, was not statistically significant. "
"7","primary","","Relapse time during maitenance therapy. ","The difference in time to relapse between aripiprozole and placebo, during maintenance therapy, was not statistically significant. "
"8","primary","","Relapse time during maitenance therapy. ","The difference in time to relapse between aripiprozole and placebo, during maintenance therapy, was not statistically significant. "
"5","primary","Irritability","Aberrant Behavior Checklist-Irritability subscale (ABC-I) Scores","""Aripiprazole was effective at reducing irritability in children and adolescents"". The mean ABC-I score for the groups treated with Aripiprazole was significantly lower at week 8 than the placebo group. "
"6","primary","Irritability","Aberrant Behavior Checklist-Irritability subscale (ABC-I) Scores","""Aripiprazole was effective at reducing irritability in children and adolescents"". The mean ABC-I score for the groups treated with Aripiprazole was significantly lower at week 8 than the placebo group. "
