"treatment_id","first_author","doi","commercial_affiliation","publication_date","journal","study_type","gender_ratio","dose_range","race_ethnicity","notes"
"1","Amatachaya, Anuwat","10.1155/2014/173073","No conflicts of interest. ","October 2014","Behavioural Neurology","Randomized Double-blind Placebo Controlled ","100% M","1mA anodal tDCS targeting left dorsolateral prefrontal cortex (DLPFC), or sham (placebo) tDCS","Not reported","Results of this study are not explained very clearly. "
"2","Veenstra-VanderWeele, Jeremy","10.1038/npp.2016.237","Seaside Therapeutics, Roche, Novartis, SynapDx, Forest, Springer and wiley. ","November 9, 2016","Neuropsychopharmacology","Randomized Double-blind Placebo Controlled  ","124 M: 26 F","","96 White Non-Hispanic; 19 White Hispanic; 17 African American; 8 Asian; 10 Other",""
"3","Delahunty, C","","","2013","American Academy of Pediatrics","RCT - Phase 2","124 M: 26 F","max: 10 mg 3x/d for 5-11y, 15 mg 3x/d for 12-21 y","",""
"4","Delahunty, C","","","2013","American Academy of Pediatrics","RCT - Phase 2","124 M: 26 F","max: 10 mg 3x/d for 5-11y, 15 mg 3x/d for 12-21 y","",""
"3","Berry-Kravis, EM","10.1126/scitranslmed.3004214","No conflicts of interest","2012","Science Translational Medicine","Randomized Double-blind Placebo Controlled  - Pilot","55 M: 8 F","max: 10 mg BID for children, 10 mg 3x/d for adults","",""
"4","Berry-Kravis, EM","10.1126/scitranslmed.3004214","No conflicts of interest","2012","Science Translational Medicine","Randomized Double-blind Placebo Controlled  - Pilot","55 M: 8 F","max: 10 mg BID for children, 10 mg 3x/d for adults","",""
"5","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"6","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"7","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"8","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"5","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"6","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"7","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
