pmid,doi,title,pub_date,abstract,authors,journal,keywords,url,affiliations
36256600,10.1093/Brain/Awac380,Randomized placebo-controlled crossover trial of memantine in children with epileptic encephalopathy.,2023-03-01,"Memantine is an N-methyl-D-aspartate receptor antagonist, approved for dementia treatment. There is limited evidence of memantine showing benefit for paediatric neurodevelopmental phenotypes, but no randomized placebo-controlled trials in children with developmental and epileptic encephalopathy. In this randomized double-blind placebo-controlled crossover trial (Trial registration: https://clinicaltrials.gov/ct2/show/NCT03779672), patients with developmental and epileptic encephalopathy received memantine and placebo, each for a 6-week period separated by a 2-week washout phase. Electroencephalography, seizure diary, patient caregivers' global impression, serum inflammatory markers and neuropsychological evaluation were performed at baseline and after each treatment phase. The primary outcome measure was classification as a 'responder', defined as ≥2 of: >50% seizure frequency reduction, electroencephalography improvement, caregiver clinical impression improvement or clear neuropsychological testing improvement. Thirty-one patients (13 females) enrolled. Two patients withdrew prior to initiating medication and two (twins) had to be removed from analysis. Of the remaining 27 patients, nine (33%) were classified as responders to memantine versus two (7%) in the placebo group (P < 0.02). Electroencephalography improvement was seen in eight patients on memantine compared to two on placebo (P < 0.04). Seizure improvement was observed in eight patients on memantine and two on placebo (P < 0.04). Caregivers reported overall clinical improvement in 10 patients on memantine compared to seven on placebo (not significant). Statistical analysis of neuropsychological evaluation suggested improvements in symptoms of attention-deficit hyperactivity disorder and autism. Memantine is a safe and effective treatment for children with developmental and epileptic encephalopathy, having the potential to improve both seizure control and cognitive function.","Schiller Katharina, Berrahmoune Saoussen, Dassi Christelle, Corriveau Isabelle, Ayash Taghreed A, Osterman Bradley, Poulin Chantal, Shevell Michael I, Simard-Tremblay Elisabeth, Sébire Guillaume, Myers Kenneth A",Brain : a journal of neurology,"Female, Humans, Memantine, Excitatory Amino Acid Antagonists, Cross-Over Studies, Treatment Outcome, Seizures, Epilepsy, Generalized, Double-Blind Method",https://www.ncbi.nlm.nih.gov/pubmed/36256600,"Child Health and Human Development, Research Institute of the McGill University Health Centre, Montreal, QC H4A 3J1, Canada.; Montreal Neurological Institute, McGill University, Montreal, QC H3A 2B4, Canada.; Division of Neurology, Department of Pediatrics, Montreal Children's Hospital, McGill University Health Centre, Montreal, QC H4A 3J1, Canada.; Department of Psychology, Montreal Children's Hospital, McGill University Health Centre, Montreal, QC H4A 3J1, Canada."
34543081,10.1089/Cap.2021.0010,"Neurocognitive Outcomes from Memantine: A Pilot, Double-Blind, Placebo-Controlled Trial in Children with Autism Spectrum Disorder.",2021-09-01,"<b><i>Objective:</i></b> Studies interrogating therapeutics which alter the excitation-inhibition balance in the treatment of autism spectrum disorder (ASD) have reported mixed results on social and behavioral outcomes. <b><i>Methods:</i></b> The aim of this randomized, double-blind placebo-controlled pilot trial was to evaluate neurocognitive effects of memantine over a 24-week trial. Twenty-three children ages 6-12 years old with ASD were randomized to memantine or placebo. Primary outcomes included measures of apraxia and expressive language with evaluations at midpoint (week 12) and endpoint (week 24). Secondary outcomes included memory and adaptive behavior measures. Exploratory outcomes included changes in overall cognitive functioning and behavior (e.g., Aberrant Behavior Checklist). <b><i>Results:</i></b> Results suggest that memantine was well-tolerated. Dropout rates were high across groups with only 14 participants completing the 6-month trial. Memantine was not associated with improvements in apraxia and expressive language. Treatment with memantine was associated with improvements in verbal recognition memory as measured by the Narrative Memory-Recognition (NEPSY-II) (<i>F</i> = 5.05, <i>p</i> = .03). In addition, exploratory analyses of changes in Intelligence quotient (IQ) suggest improvements on verbal IQ (<i>d</i> = 1.8). <b><i>Conclusions:</i></b> Results suggest future studies of memantine in ASD may benefit from shifting treatment targets from social and behavioral outcomes to exploration of effects of memantine on cognition, potentially as an adjunct to learning and educational interventions. ClinicalTrials.gov: NCT01372449.","Soorya Latha Valluripalli, Fogg Louis, Ocampo Edith, Printen Madison, Youngkin Sarah, Halpern Danielle, Kolevzon Alexander, Lee Soo, Grodberg David, Anagnostou Evdokia",Journal of child and adolescent psychopharmacology,"Autism Spectrum Disorder, Behavior, Child, Cognition, Double-Blind Method, Excitatory Amino Acid Antagonists, Female, Humans, Male, Memantine, Memory, Neuropsychological Tests, Pilot Projects, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/34543081,"Department of Psychiatry and Behavioral Sciences, Rush University Medical Center, Chicago, Illinois, USA.; Department of Nursing, Rush University Medical Center, Chicago, Illinois, USA.; Holland Bloorview Children's Rehabilitation Hospital, Ontario, Canada.; Department of Psychiatry, Icahn School of Medicine, New York, New York, USA.; Child Study Center, Yale University, New Haven, Connecticut, USA."
31027422,10.1177/1362361318824103,Efficacy and safety of memantine in children with autism spectrum disorder: Results from three phase 2 multicenter studies.,2019-11-01,"Three phase 2 trials were conducted to assess the efficacy and long-term safety of weight-based memantine extended release (ER) treatment in children with autism spectrum disorder. MEM-MD-91, a 50-week open-label trial, identified memantine extended-release treatment responders for enrollment into MEM-MD-68, a 12-week randomized, double-blind, placebo-controlled withdrawal trial. MEM-MD-69 was an open-label extension trial in which participants from MEM-MD-68, MEM-MD-91, and open-label trial MEM-MD-67 were treated ⩽48 weeks with memantine extended release. In MEM-MD-91, 517 (59.6%) participants were confirmed Social Responsiveness Scale responders at week 12; mean Social Responsiveness Scale total raw scores improved two to three times a minimal clinically important difference of 10 points. In MEM-MD-68, there was no difference between memantine and placebo on the primary efficacy parameter, the proportion of patients with a loss of therapeutic response (defined as ⩾10-point increase from baseline in Social Responsiveness Scale total raw score). MEM-MD-69 exploratory analyses revealed mean standard deviation improvement in Social Responsiveness Scale total raw score of 32.4 (26.4) from baseline of the first lead-in study. No new safety concerns were evident. While the a priori-defined efficacy results of the double-blind trial were not achieved, the considerable improvements in mean Social Responsiveness Scale scores from baseline in the open-label trials were presumed to be clinically important.","Hardan Antonio Y, Hendren Robert L, Aman Michael G, Robb Adelaide, Melmed Raun D, Andersen Kristen A, Luchini Rachel, Rahman Rezwanur, Ali Sanjida, Jia X Daniel, Mallick Madhuja, Lateiner Jordan E, Palmer Robert H, Graham Stephen M",Autism : the international journal of research and practice,"Autism Spectrum Disorder, Child, Delayed-Action Preparations, Double-Blind Method, Early Termination of Clinical Trials, Excitatory Amino Acid Antagonists, Female, Fever, Headache, Humans, Irritable Mood, Male, Memantine, Nasopharyngitis, Social Behavior, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/31027422,"Allergan plc, USA.; Forest Research Institute (currently Allergan plc), USA.; Prescott Medical Communications Group, USA.; Stanford University, USA.; University of California, San Francisco, USA.; Ohio State University, USA.; Southwest Autism Research & Resource Center, USA.; Children's National Medical Center, USA."
26983548,10.1186/S13063-016-1266-8,Glutamatergic medication in the treatment of obsessive compulsive disorder (OCD) and autism spectrum disorder (ASD) - study protocol for a randomised controlled trial.,2016-03-17,"Compulsivity is a cross-disorder trait underlying phenotypically distinct psychiatric disorders that emerge in childhood or adolescence. Despite the effectiveness of serotonergic compounds in the treatment of obsessive-compulsive disorder, treatment-resistant symptoms remaining in 40 to 60 % of patients present a pressing clinical problem. There are currently no medications that effectively treat the core impairments of autism spectrum disorder. There is an urgent need for the development of conceptually novel pharmacological strategies. Agents targeting glutamate neurotransmission, such as memantine, represent promising candidates. This proof-of-concept clinical study will allow pilot-testing of memantine for both clinical effectiveness and tolerability/safety. Memantine is an N-methyl-D-aspartate receptor antagonist, approved for the treatment of Alzheimer's dementia in a number of countries. This 12-week study has an add-on, randomised, double-blind, placebo-controlled design of treatment with memantine, including an up-titration phase (forced flexible dose design, 5-15 mg/day), in patients aged 6-17 years and 9 months with obsessive-compulsive disorder or autism spectrum disorder. It is planned to include patients with obsessive-compulsive disorder (N = 50) or autism spectrum disorder (N = 50) across four centres in three European countries. Patients will be randomly assigned to memantine or placebo in a 1:1 ratio. Primary objectives are the investigation of the effectiveness of memantine in paediatric patients for improving symptoms of compulsivity (primary outcome measure: total score on the Children's Yale-Brown Obsessive-Compulsive Scale) and to explore its tolerability and safety. Secondary objectives are to explore the effects of memantine at the level of structure, function and biochemistry of the fronto-striatal circuits, and to collect blood for genetic analyses and biomarkers. Tertiary objectives are to explore the role of new candidate genes and pathways for compulsivity by linking genes to clinical phenotypes, response to treatment, neurocognitive test performance, and key structural and functional neuroimaging measures of the fronto-striatal circuits and to explore biomarkers/proteomics for compulsivity traits. This study is part of the large, translational project TACTICS ( http://www.tactics-project.eu/ ) that is funded by the European Union and investigates the neural, genetic and molecular factors involved in the pathogenesis of compulsivity. Its results will provide clinically relevant solid information on potential new mechanisms and medication treatment in obsessive-compulsive and autism spectrum disorders. EudraCT Number: 2014-003080-38 , date of registration: 14 July 2014.","Häge Alexander, Banaschewski Tobias, Buitelaar Jan K, Dijkhuizen Rick M, Franke Barbara, Lythgoe David J, Mechler Konstantin, Williams Steven C R, Dittmann Ralf W,  ",Trials,"Adolescent, Adolescent Behavior, Autism Spectrum Disorder, Brain, Child, Child Behavior, Clinical Protocols, Double-Blind Method, Europe, Excitatory Amino Acid Antagonists, Female, Glutamic Acid, Humans, Male, Memantine, Neuroimaging, Obsessive-Compulsive Disorder, Psychiatric Status Rating Scales, Research Design, Time Factors, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/26983548,"Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, Medical Faculty Mannheim, University of Heidelberg, Mannheim, Germany.; Department of Neuroimaging, King's College London, Institute of Psychiatry, Psychology and Neuroscience, London, UK.; Biomedical MR Imaging and Spectroscopy Group, Center for Image Sciences, University Medical Center Utrecht, Utrecht, The Netherlands.; Paediatric Psychopharmacology, Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, Medical Faculty Mannheim, University of Heidelberg, PO Box 12 21 20, 68072, Mannheim, Germany. alexander.haege@zi-mannheim.de.; Department of Cognitive Neuroscience, Donders Institute for Brain, Cognition and Behaviour, Radboud University Medical Center, Nijmegen, The Netherlands.; Paediatric Psychopharmacology, Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, Medical Faculty Mannheim, University of Heidelberg, PO Box 12 21 20, 68072, Mannheim, Germany.; Departments of Human Genetics and Psychiatry, Donders Institute for Brain, Cognition and Behaviour, Radboud University Medical Center, Nijmegen, The Netherlands."
26978327,10.1089/Cap.2015.0146,"Safety and Efficacy of Memantine in Children with Autism: Randomized, Placebo-Controlled Study and Open-Label Extension.",2017-06-01,"Abnormal glutamatergic neurotransmission is implicated in the pathophysiology of autism spectrum disorder (ASD). In this study, the safety, tolerability, and efficacy of the glutamatergic N-methyl-d-aspartate (NMDA) receptor antagonist memantine (once-daily extended-release [ER]) were investigated in children with autism in a randomized, placebo-controlled, 12 week trial and a 48 week open-label extension. A total of 121 children 6-12 years of age with Diagnostic and Statistical Manual of Mental Disorders, 4th ed., Text Revision (DSM-IV-TR)-defined autistic disorder were randomized (1:1) to placebo or memantine ER for 12 weeks; 104 children entered the subsequent extension trial. Maximum memantine doses were determined by body weight and ranged from 3 to 15 mg/day. There was one serious adverse event (SAE) (affective disorder, with memantine) in the 12 week study and one SAE (lobar pneumonia) in the 48 week extension; both were deemed unrelated to treatment. Other AEs were considered mild or moderate and most were deemed not related to treatment. No clinically significant changes occurred in clinical laboratory values, vital signs, or electrocardiogram (ECG). There was no significant between-group difference on the primary efficacy outcome of caregiver/parent ratings on the Social Responsiveness Scale (SRS), although an improvement over baseline at Week 12 was observed in both groups. A trend for improvement at the end of the 48 week extension was observed. No improvements in the active group were observed on any of the secondary end-points, with one communication measure showing significant worsening with memantine compared with placebo (p = 0.02) after 12 weeks. This trial did not demonstrate clinical efficacy of memantine ER in autism; however, the tolerability and safety data were reassuring. Our results could inform future trial design in this population and may facilitate the investigation of memantine ER for other clinical applications.","Aman Michael G, Findling Robert L, Hardan Antonio Y, Hendren Robert L, Melmed Raun D, Kehinde-Nelson Ola, Hsu Hai-An, Trugman Joel M, Palmer Robert H, Graham Stephen M, Gage Allyson T, Perhach James L, Katz Ephraim",Journal of child and adolescent psychopharmacology,"Autistic Disorder, Child, Delayed-Action Preparations, Dose-Response Relationship, Drug, Double-Blind Method, Excitatory Amino Acid Antagonists, Female, Humans, Male, Memantine, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/26978327,"4 Department of Psychiatry, University of California , San Francisco, California.; 6 Forest Research Institute, (now Allergan) Jersey City, New Jersey.; 1 The Nisonger Center, Ohio State University , Columbus, Ohio.; 5 Southwest Autism Research & Resource Center , Phoenix, Arizona.; 2 Kennedy Krieger Institute, Johns Hopkins University , Baltimore, Maryland.; 3 Department of Psychiatry and Behavioral Sciences, Stanford University , Stanford, California."
24201232,10.1097/Wnf.0B013E3182A9339D,"Double-blind, placebo-controlled trial of risperidone plus amantadine in children with autism: a 10-week randomized study.",2013-01-01,"This study aimed to investigate the effect of adding amantadine to risperidone for treatment of autism. Forty outpatients aged 4 to12 years, who were diagnosed with autism spectrum disorders based on the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision criteria, were assigned to this double-blind clinical trial. The subjects were divided randomly into 2 groups. One group received risperidone plus amantadine, and the other group received risperidone plus placebo. The dose of risperidone was titrated between 1 and 2.0 mg/d, and the dose of amantadine was 100 or 150 mg/d for patients less than 30 kg or more than 30 kg, respectively. The patients were assessed using the Aberrant Behavioral Checklist-Community (ABC-C) and adverse effects checklist as well as clinical global impression-improvement (CGI-I) at2 checkpoints of 5-week intervals after the baseline. Informed consentwas obtained from the parents of each participant. Among ABC-C subscales, Hyperactivity and Irritability showed significantly greater reduction in the amantadine group than the placebo group. There was no significant difference in adverse effects between the 2 groups. The CGI-I scores show significant improvement in the amantadine group compared to the placebo group. The present study suggests that amantadine may be a potential adjunctive treatment strategy for autism and it was generally well tolerated.","Mohammadi Mohammad-Reza, Yadegari Nourrollah, Hassanzadeh Elmira, Farokhnia Mehdi, Yekehtaz Habibeh, Mirshafiee Omid, Akhondzadeh Shahin",Clinical neuropharmacology,"Amantadine, Autistic Disorder, Child, Child, Preschool, Dopamine Agents, Dopamine Antagonists, Double-Blind Method, Drug Therapy, Combination, Female, Humans, Irritable Mood, Male, Risperidone, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/24201232,"Psychiatric Research Center, Roozbeh Hospital, Tehran University of Medical Sciences, Tehran, Iran."
22999292,10.1017/S1461145712000880,"Memantine as adjunctive treatment to risperidone in children with autistic disorder: a randomized, double-blind, placebo-controlled trial.",2013-05-01,"Autism is a neurodevelopmental disorder that causes significant impairment in socialization and communication. It is also associated with ritualistic and stereotypical behaviour. Recent studies propose both hyper-and hypoglutamatergic ideologies for autism. The objective of this study was to assess the effects of memantine plus risperidone in the treatment of children with autism. Children with autism were randomly allocated to risperidone plus memantine or placebo plus risperidone for a 10-wk, double-blind, placebo-controlled study. The dose of risperidone was titrated up to 3 mg/d and memantine was titrated to 20 mg/d. Children were assessed at baseline and after 2, 4, 6, 8 and 10 wk of starting medication protocol. The primary outcome measure was the irritability subscale of Aberrant Behavior Checklist-Community (ABC-C). Difference between the two treatment arms was significant as the group that received memantine had greater reduction in ABC-C subscale scores for irritability, stereotypic behaviour and hyperactivity. Eight side-effects were observed over the trial, out of the 25 side-effects that the checklist included. The difference between the two groups in the frequency of side-effects was not significant. The present study suggests that memantine may be a potential adjunctive treatment strategy for autism and it was generally well tolerated. This trial is registered with the Iranian Clinical Trials Registry (IRCT1138901151556N10; www.irct.ir).","Ghaleiha Ali, Asadabadi Mahtab, Mohammadi Mohammad-Reza, Shahei Maryam, Tabrizi Mina, Hajiaghaee Reza, Hassanzadeh Elmira, Akhondzadeh Shahin",The international journal of neuropsychopharmacology,"Autistic Disorder, Child, Child, Preschool, Double-Blind Method, Drug Therapy, Combination, Female, Humans, Male, Memantine, Risperidone, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/22999292,"Research Center for Behavioral Disorders and Substance Abuse, Hamadan University of Medical Sciences, Hamadan, Iran."
11392343,10.1097/00004583-200106000-00010,"Double-blind, placebo-controlled study of amantadine hydrochloride in the treatment of children with autistic disorder.",2001-06-01,"To test the hypothesis that amantadine hydrochloride is a safe and effective treatment for behavioral disturbances--for example, hyperactivity and irritability--in children with autism. Thirty-nine subjects (intent to treat; 5-19 years old; IQ > 35) had autism diagnosed according to DSM-IV and ICD-10 criteria using the Autism Diagnostic Interview-Revised and the Autism Diagnostic Observation Schedule-Generic. The Aberrant Behavior Checklist-Community Version (ABC-CV) and Clinical Global Impressions (CGI) scale were used as outcome variables. After a 1-week, single-blind placebo run-in, patients received a single daily dose of amantadine (2.5 mg/kg per day) or placebo for the next week, and then bid dosing (5.0 mg/kg per day) for the subsequent 3 weeks. When assessed on the basis of parent-rated ABC-CV ratings of irritability and hyperactivity, the mean placebo response rate was 37% versus amantadine at 47% (not significant). However, in the amantadine-treated group there were statistically significant improvements in absolute changes in clinician-rated ABC-CVs for hyperactivity (amantadine -6.4 versus placebo -2.1; p = .046) and inappropriate speech (-1.9 versus 0.4; p = .008). CGI scale ratings were higher in the amantadine group: 53% improved versus 25% (p = .076). Amantadine was well tolerated. Parents did not report statistically significant behavioral change with amantadine. However, clinician-rated improvements in behavioral ratings following treatment with amantadine suggest that further studies with this or other drugs acting on the glutamatergic system are warranted. The design of these and similar drug trials in children with autistic disorder must take into account the possibility of a large placebo response.","King B H, Wright D M, Handen B L, Sikich L, Zimmerman A W, McMahon W, Cantwell E, Davanzo P A, Dourish C T, Dykens E M, Hooper S R, Jaselskis C A, Leventhal B L, Levitt J, Lord C, Lubetsky M J, Myers S M, Ozonoff S, Shah B G, Snape M, Shernoff E W, Williamson K, Cook E H",Journal of the American Academy of Child and Adolescent Psychiatry,"Adolescent, Adult, Amantadine, Autistic Disorder, Child, Child, Preschool, Dopamine Agents, Double-Blind Method, Drug Administration Schedule, Female, Humans, Irritable Mood, Male, Psychiatric Status Rating Scales, Psychomotor Agitation, Severity of Illness Index, Treatment Outcome",https://www.ncbi.nlm.nih.gov/pubmed/11392343,"Department of Psychiatry, Dartmouth Medical School, Hanover, NH 03756-0001, USA. Bryan.H.King@Dartmouth.edu"
1364154,,[Platelet serotonin in infantile autism. Cross-over effects of a dopamine agonist and an antagonist].,1992-01-01,"In infantile autism, the serotoninergic (5-HT) hypothesis is corroborated by biological dosages and therapeutic effects of fenfluramine which decrease blood serotonin. However other drugs, such as dopaminergic agonists or antagonists, have therapeutic effects. Therefore, we tested the hypothesis that two dopaminergic (DA) drugs have a similar 5-HT effect underlying the therapeutic efficiency. We evaluated in a randomized, double-blind and cross-over study, the effects of a DA agonist (bromocriptine) and a DA antagonist (amisulpride) on platelet 5-HT in infantile autism. The prolactinemia, reflecting the DA action, has been also measured. Nine children, aged from 4 to 13 years, according to the DSM III for infantile autism, received either drug in a random order during four weeks with an in-between placebo period of six weeks. The dosages of platelet 5-HT and serum prolactin were carried out at the beginning and at the end of every phase of treatment (active or placebo) with radioenzymology and radioimmunoassay methods respectively. The principal results on serum prolactin show neither order x treatment interaction, nor order effect but a significant treatment effect (p < 0.01): amisulpride increases serum prolactin whereas bromocriptine decreases according to the usual data. About platelet 5-HT, there is neither order x treatment interaction, nor treatment effect but a significant order effect (p < 0.01). Both drugs increase platelet 5-HT in the first phase of treatment. This order effect could be explained by a remanent effect of amisulpride after 6 wash-out weeks.(ABSTRACT TRUNCATED AT 250 WORDS)","Dollfus S, Petit M, Launay J M, Callebert J, Boudou P, Dreux C, Ménard J F",L'Encephale,"Adolescent, Amisulpride, Antipsychotic Agents, Autistic Disorder, Blood Platelets, Bromocriptine, Child, Child, Preschool, Dopamine, Double-Blind Method, Female, Homovanillic Acid, Humans, Male, Prolactin, Serotonin, Sulpiride",https://www.ncbi.nlm.nih.gov/pubmed/1364154,"CHS du Rouvray, Service Hospitalo-Universitaire, Sotteville-les-Rouen."
1350581,10.1007/Bf01046402,Amisulpride versus bromocriptine in infantile autism: a controlled crossover comparative study of two drugs with opposite effects on dopaminergic function.,1992-03-01,"An alteration of dopaminergic (DA) function much more complex than simple hyperactivity has been evoked in infantile autism. We therefore compared the clinical efficacy of a DA antagonist (amisulpride) and a DA agonist (bromocriptine) in a randomized, double-blind, crossover trial in 9 children with autism, likely severely mentally retarded. Amisulpride acts preferentially on specific autistic symptoms whereas bromocriptine acts more on motor hyperactivity and attention symptoms. These findings raise the specificity of these two drugs which appear to act preferentially on some target symptoms and are consistent with some clinical and pharmacological observations showing a sedative effect with low doses of DA agonists and a stimulant effect with low doses of DA antagonists such as the benzamides.","Dollfus S, Petit M, Menard J F, Lesieur P",Journal of autism and developmental disorders,"Adolescent, Amisulpride, Antipsychotic Agents, Autistic Disorder, Brain, Bromocriptine, Child, Child, Preschool, Dopamine Antagonists, Double-Blind Method, Female, Humans, Male, Psychiatric Status Rating Scales, Receptors, Dopamine, Sulpiride",https://www.ncbi.nlm.nih.gov/pubmed/1350581,"University of Rouen, Department of Psychiatry."
