"id","journal","publisher","impact_factor","issn","url"
"1","Behavioural neurology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/25861158"
"2","Journal of the Medical Association of Thailand = Chotmaihet thangphaet","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/25536713"
"4","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/25027640"
"5","Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/27748740"
"6","Journal of autism and developmental disorders","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/24272415"
"7","Science translational medicine","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/22993294"
"8","Child psychiatry and human development","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/28004215"
"9","Journal of child and adolescent psychopharmacology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/39419042"
"11","The Journal of clinical psychiatry","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/24502859"
"13","Bipolar disorders","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/23437959"
"14","Journal of affective disorders","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/23044285"
"18","Pediatrics","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/19948625"
"20","Journal of clinical psychopharmacology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/20473067"
"21","Current medical research and opinion","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/20429835"
"22","Journal of the American Academy of Child and Adolescent Psychiatry","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/19797985"
"23","CNS spectrums","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/19407731"
"25","The British journal of psychiatry : the journal of mental science","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/19118324"
"28","The American journal of psychiatry","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/18381903"
"30","Psychopharmacology","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/16810506"
"31","Pharmacotherapy","Unknown",,,"https://www.ncbi.nlm.nih.gov/pubmed/31063671"
