"pmid","doi","title","pub_date","abstract","authors","journal","keywords","url","affiliations","embedding"
"10214169","10.1046/J.1365-2702.1999.00211.X","Multisensory environments: are they therapeutic? A single-subject evaluation of the clinical effectiveness of a multisensory environment.","1999-01-01","This article reviews the current literature on multisensory therapy. Utilizing a single-subject quasi-experimental design, the therapeutic clinical effectiveness of multisensory therapy in promoting relaxation in a young man with learning disabilities is evaluated. Findings support the hypothesis that multisensory therapy can promote relaxation. It is concluded that multisensory environments are therapeutic, in that they can promote relaxation, and they may also have a place in the care of people with learning disabilities who display challenging behaviours.","Slevin E, Mcclelland A","Journal of clinical nursing","Adult, Autistic Disorder, Environment Design, Humans, Intellectual Disability, Learning, Male, Milieu Therapy, Relaxation Therapy","https://www.ncbi.nlm.nih.gov/pubmed/10214169","School of Health Sciences University of Ulster, Newtownabbey, UK. JE.Slevin@ulst.ac.uk",
"10230191","10.1097/00004583-199905000-00021","Naltrexone and communication skills in young children with autism.","1999-05-01","To evaluate the effect of naltrexone on communication skills of young children with autism. Twenty-four children with autism, 3.0 to 8.3 years old (mean 5.1) who were living at home and attending appropriate school programs, participated in a randomized, double-blind, placebo-controlled, crossover trial. Naltrexone, 1.0 mg/kg, or placebo was administered daily for 2 weeks. Communication was evaluated from videotaped samples of seminaturalistic parent-child interaction. Child and parent language were assessed using similar measures. In this heterogeneous sample, the median number of words the child produced on placebo was 9.5 (range 0-124). The median proportion of utterances with echolalia was 0.16. No differences were found between the naltrexone and placebo conditions in any of the measures of children or parents' communication. Significant correlations were found between the child's number of words and developmental quotient (Spearman rho = 0.58, p = .003) and between the child's and parent's number of words (rho = 0.55, p = .005). Previous studies showed that naltrexone was associated with modest reduction in hyperactivity and restlessness in this group of children with autism. In this short-term study, the medication did not lead to improvement in communication, a core deficit of autism.","Feldman H M, Kolmen B K, Gonzaga A M","Journal of the American Academy of Child and Adolescent Psychiatry","Autistic Disorder, Child, Child, Preschool, Cross-Over Studies, Double-Blind Method, Female, Humans, Language, Male, Motor Activity, Naltrexone, Narcotic Antagonists, Parent-Child Relations, Treatment Outcome, Verbal Behavior","https://www.ncbi.nlm.nih.gov/pubmed/10230191","Department of Pediatrics, University of Pittsburgh School of Medicine, Children's Hospital of Pittsburgh, PA 15213, USA.",
"10405497","10.1097/00004583-199907000-00009","Efficacy of methylphenidate among preschool children with developmental disabilities and ADHD.","1999-07-01","This was a double-blind, placebo-controlled, crossover design study of the safety and efficacy of methylphenidate (MPH) in 11 preschool children (aged 4.0-5.11 years) with developmental disabilities and attention-deficit hyperactivity disorder (ADHD). MPH doses of 0.3 and 0.6 mg/kg per dose and a placebo were given. Drug response was evaluated via teacher-completed behavior checklists and clinic-based observations of activity level, attention, and compliance to adult requests. A side effects checklist was also completed by teachers and parents. Significant improvement on teacher ratings of hyperactivity and inattention as well as clinic-based observations of activity level and compliance were associated with MPH. Eight of 11 preschool children were medication responders (based on a minimum 40% decrease between placebo and one drug condition on either the teacher-rated Conners Hyperactivity Index or the Hyperactive-Distractible subscale of the Preschool Behavior Questionnaire). Five children exhibited significant adverse drug side effects such as severe social withdrawal, increased crying, and irritability, especially at the higher dose (0.6 mg/kg). Results suggest that preschool children with developmental disabilities and ADHD respond to MPH at rates similar to those of school-age children with mental retardation and ADHD. However, this population appears to be especially susceptible to adverse drug side effects.","Handen B L, Feldman H M, Lurier A, Murray P J","Journal of the American Academy of Child and Adolescent Psychiatry","Analysis of Variance, Attention Deficit Disorder with Hyperactivity, Child Behavior Disorders, Child, Preschool, Developmental Disabilities, Double-Blind Method, Female, Humans, Male, Methylphenidate, Observer Variation, Placebos, Psychiatric Status Rating Scales, Task Performance and Analysis","https://www.ncbi.nlm.nih.gov/pubmed/10405497","University of Pittsburgh School of Medicine, USA.",
"10405506","10.1097/00004583-199907000-00018","Imipramine treatment in pediatric burn patients with symptoms of acute stress disorder: a pilot study.","1999-07-01","Pediatric burn patients often exhibit acute stress disorder (ASD) symptoms. Information on psychopharmacological treatment of ASD symptoms in children is scarce. This pilot study used a prospective, randomized, double-blind design to test whether thermally injured children suffering ASD symptoms benefit from imipramine. Twenty-five children, aged 2 to 19 years, received either imipramine or chloral hydrate for 7 days. A structured interview (clinically useful, but validity and reliability not yet established) was used to assess the presence and frequency of ASD symptoms both before treatment and 3 times during the treatment period. Eleven females and 14 males participated, with a mean total burn surface area of 45% (SD = 23%) and mean age of 8 years (SD = 6). Imipramine was more effective than chloral hydrate in treating ASD symptoms (chi 2 [1, N = 25] = 5.24, p < .02). Five of 13 were positive responders to chloral hydrate (38%). Ten of 12 were positive responders to low-dose imipramine (83%). This pilot study suggests a place for cautious initial use of imipramine to reduce ASD symptoms in burned children. Care must be taken to minimize cardiovascular risks in an off-label application of imipramine in children, especially those receiving additional medications.","Robert R, Blakeney P E, Villarreal C, Rosenberg L, Meyer W J","Journal of the American Academy of Child and Adolescent Psychiatry","Acute Disease, Adolescent, Adult, Burn Units, Burns, Chi-Square Distribution, Child, Child, Preschool, Chloral Hydrate, Female, Humans, Imipramine, Male, Pilot Projects, Placebos, Stress Disorders, Post-Traumatic, Texas","https://www.ncbi.nlm.nih.gov/pubmed/10405506","Shriners Burns Hospital, Galveston, TX 77550, USA.",
"10422898","10.1016/S0924-977X(99)00010-3","Beta-endorphin levels in peripheral blood mononuclear cells and long-term naltrexone treatment in autistic children.","1999-06-01","We assessed the clinical and biological effects of high-dose, long-term Naltrexone (NTX) treatment in 11 children (3-11 years), who had been diagnosed as autistic. The drug was given following an open design, for 12 weeks. Beta-Endorphin (beta-END) was assayed in peripheral blood mononuclear cells after 1 and 3 months of treatment, and 6 months after the completion of the course. Baseline beta-END levels were higher than in healthy age-matched controls. In seven patients treatment reduced beta-END, whose levels rose in four children. Autistic symptoms were considerably attenuated in all cases, with functional improvements involving several areas. There was a close correlation between the reduction in beta-END levels and the decrease of social withdrawal, and an evident--though weak--correlation between increases in beta-END and decreases in stereotypy and abnormal speech. Both effects persisted after treatment stopped.","Cazzullo A G, Musetti M C, Musetti L, Bajo S, Sacerdote P, Panerai A","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","Autistic Disorder, Child, Child, Preschool, Cognition, Humans, Leukocytes, Mononuclear, Naltrexone, Narcotic Antagonists, Stereotyped Behavior, beta-Endorphin","https://www.ncbi.nlm.nih.gov/pubmed/10422898","Institute of Child and Adolescent Neurologic and Psychiatric Sciences, University of Milan, Italy.",
"10588965","10.1056/Nejm199912093412404","Lack of benefit of a single dose of synthetic human secretin in the treatment of autism and pervasive developmental disorder.","1999-12-09","Secretin is a peptide hormone that stimulates pancreatic secretion. After recent publicity about a child with autism whose condition markedly improved after a single dose of secretin, thousands of children with autistic disorders may have received secretin injections. We conducted a double-blind, placebo-controlled trial of a single intravenous dose of synthetic human secretin in 60 children (age, 3 to 14 years) with autism or pervasive developmental disorder. The children were randomly assigned to treatment with an intravenous infusion of synthetic human secretin (0.4 microg per kilogram of body weight) or saline placebo. We used standardized behavioral measures of the primary and secondary features of autism, including the Autism Behavior Checklist, to assess the degree of impairment at base line and over the course of a four-week period after treatment. Of the 60 children, 4 could not be evaluated - 2 received secretin outside the study, and 2 did not return for follow-up. Thus, 56 children (28 in each group) completed the study. As compared with placebo, secretin treatment was not associated with significant improvements in any of the outcome measures. Among the children in the secretin group, the mean total score on the Autism Behavior Checklist at base line was 59.0 (range of possible values, 0 to 158, with a larger value corresponding to greater impairment), and among those in the placebo group it was 63.2. The mean decreases in scores over the four-week period were 8.9 in the secretin group and 17.8 in the placebo group (mean difference, -8.9; 95 percent confidence interval, -19.4 to 1.6; P=0.11). None of the children had treatment-limiting adverse effects. After they were told the results, 69 percent of the parents of the children in this study said they remained interested in secretin as a treatment for their children. A single dose of synthetic human secretin is not an effective treatment for autism or pervasive developmental disorder.","Sandler A D, Sutton K A, DeWeese J, Girardi M A, Sheppard V, Bodfish J W","The New England journal of medicine","Adolescent, Autistic Disorder, Child, Child Development Disorders, Pervasive, Child, Preschool, Double-Blind Method, Humans, Secretin, Treatment Failure","https://www.ncbi.nlm.nih.gov/pubmed/10588965","Olson Huff Center for Child Development, Thoms Rehabilitation Hospital, Asheville, NC 28803, USA. adsandler@pol.net",
"10832772","10.1023/A:1005443119324","Secretin and autism: a two-part clinical investigation.","2000-04-01","Recent anecdotal reports have touted the gastrointestinal (GI) hormone secretin as a treatment modality for autism, though there is little clinical evidence or literature to support its viability. We undertook a two-part clinical trial to investigate these claims. Fifty-six patients (49 boys, 7 girls, mean age = 6.4 years, SD = 2.7) enrolled in an open-label trial of secretin, during which they received one injection of the hormone (2 IU/kg). All subjects were evaluated by their parents at baseline and follow-up visits (3-6 weeks later, M = 3.7, SD = 1.4 weeks) with Childhood Autism Rating Scales (CARS). Thirty-four patients were labeled with Pervasive Developmental Disorder Not Otherwise Specified, and 22 met diagnostic criteria for Autistic Disorder. Forty-five patients were concurrently on other drug treatments. At follow-up, some reported minimal but potentially significant improvements including changes in GI symptoms, expressive and/or receptive language function, and improved awareness and social interactions. No adverse effects were reported or observed. Subsequently, 17 of the most responsive patients from Study 1 began a double-blind trial that also included 8 newly enrolled patients. Patients in this second study were alternatively entered into one of two groups and received injections of secretin or placebo with crossover at 4 weeks. Patients from Study 1 entered into Study 2 at an average of 6.5 (SD = 0.8) weeks after beginning Study 1. Results of both inquiries indicate that although treatment with secretin was reported to cause transient changes in speech and behavior in some children, overall it produced few clinically meaningful changes when compared to children given placebo injections.","Chez M G, Buchanan C P, Bagan B T, Hammer M S, McCarthy K S, Ovrutskaya I, Nowinski C V, Cohen Z S","Journal of autism and developmental disorders","Adolescent, Autistic Disorder, Child, Child, Preschool, Double-Blind Method, Female, Follow-Up Studies, Humans, Injections, Intravenous, Male, Secretin, Treatment Outcome","https://www.ncbi.nlm.nih.gov/pubmed/10832772","Pediatric Neurology, Lake Forest Hospital, Illinois 60045, USA. mchezmd@interaccess.com",
"10832773","10.1023/A:1005447203394","Comments on ""Secretin and autism: a two-part clinical investigation"" by M.G. Chez et al.","2000-04-01",,"Rimland B","Journal of autism and developmental disorders","Adolescent, Autistic Disorder, Child, Child, Preschool, Double-Blind Method, Female, Humans, Injections, Intravenous, Male, Secretin, Treatment Outcome","https://www.ncbi.nlm.nih.gov/pubmed/10832773",,
"10832774","10.1023/A:1005451304303","Assessment in multisite randomized clinical trials of patients with autistic disorder: the Autism RUPP Network. Research Units on Pediatric Psychopharmacology.","2000-04-01","Assessment of autistic disorder (autism) symptoms, primary and secondary, poses more challenging problems than ordinarily found in multisite randomized clinical trial (RCT) assessments. For example, subjects may be uncommunicative and extremely heterogeneous in problem presentation, and current pharmacological treatments are not likely to alter most core features of autism. The Autism Research Units on Pediatric Psychopharmacology (RUPP Autism Network) resolved some of these problems during the design of a risperidone RCT in children/adolescents. The inappropriateness of the usual anchors for a Clinical Global Impression of Severity (CGI-S) was resolved by defining uncomplicated autism without secondary symptoms as a CGI-S of 3, mildly ill. The communication problems, compromising use of the patient as an informant, were addressed by several strategies, including careful questioning of care providers, rating scales, laboratory tests, and physical exams. The broad subject heterogeneity requires outcome measures sensitive to individual change over a wide spectrum of treatment response and side effects. The problems of neuropsychologically testing nonverbal, lower functioning, sometimes noncompliant subjects requires careful instrument selection/adaptation and flexible administration techniques. The problems of assessing low-end IQs, neglected by most standardized test developers, was resolved by an algorithm of test hierarchy. Scarcity of other autism-adapted cognitive and neuropsychological tests and lack of standardization required development of a new, specially adapted battery. Reliability on the Autism Diagnostic Interview (currently the most valid diagnostic instrument) and other clinician instruments required extensive cross-site training (in-person, videotape, and teleconference sessions). Definition of a treatment responder required focus on individually relevant target symptoms, synthesis of possible modest improvements in many domains, and acceptance of attainable though imperfect goals. The assessment strategy developed is implemented in a RCT of risperidone (McDougle et al., 2000) for which the design and other methodological challenges are described elsewhere (Scahill et al., 2000). Some of these problems and solutions are partially shared with RCTs of other treatments and other disorders.","Arnold L E, Aman M G, Martin A, Collier-Crespin A, Vitiello B, Tierney E, Asarnow R, Bell-Bradshaw F, Freeman B J, Gates-Ulanet P, Klin A, McCracken J T, McDougle C J, McGough J J, Posey D J, Scahill L, Swiezy N B, Ritz L, Volkmar F","Journal of autism and developmental disorders","Antipsychotic Agents, Autistic Disorder, Child, Humans, Neuropsychological Tests, Reproducibility of Results, Risperidone, Treatment Outcome","https://www.ncbi.nlm.nih.gov/pubmed/10832774","Arnold.6@osu.edu",
"11055460","10.1023/A:1005548619694","Efficacy of methylphenidate among children with autism and symptoms of attention-deficit hyperactivity disorder.","2000-06-01","Thirteen children (ages 5.6 to 11.2 years) with autism and symptoms of attention-deficit hyperactivity disorder (ADHD) participated in a double-blind, placebo-controlled crossover study of methylphenidate (0.3 and 0.6 mg/kg per dose). Eight subjects responded positively, based upon a minimum 50% decrease on the Conners Hyperactivity Index. Ratings of stereotypy and inappropriate speech, which are often associated with autistic core features, also decreased. However, no changes were found on the Child Autism Rating Scale, a global assessment of autistic symptomotology. Significant adverse side effects occurred in some children including social withdrawal and irritability, especially at the 0.6 mg/kg dose. Results suggest that methylphenidate can be efficacious for children with autism and ADHD symptoms. However, this group of children seems to be particularly susceptible to adverse side effects.","Handen B L, Johnson C R, Lubetsky M","Journal of autism and developmental disorders","Attention Deficit Disorder with Hyperactivity, Autistic Disorder, Central Nervous System Stimulants, Child, Child, Preschool, Cross-Over Studies, Double-Blind Method, Female, Humans, Male, Methylphenidate","https://www.ncbi.nlm.nih.gov/pubmed/11055460","University of Pittsburgh School of Medicine, Pennsylvania, USA.",
