"id","treatment_name","duration","primary_outcome_area","primary_outcome_measures","results_primary_measure","journal_id"
"33","Caregiver Implemented Reciprocal Imitation Teaching (CI-RIT)",,"Social Communication",,,"272"
"34","Intermittent theta burst stimulation (iTBS)",,"Social cognition",,,"114"
"35","Modular Approach for Young Autistic Children (MAYAC)",,"Parent stress and competence","Parenting Stress Index-4 (PSI-4) and Parenting Sense of Competence (PSOC)","We assessed parent stress and competence outcomes from participation in a randomized controlled trial of a modular behavioral intervention (Modular Approach for Young Autistic Children; MAYAC) compared to a treatment-as-usual comprehensive behavioral intervention (CBI). Throughout their participation, parents of military families were included in their child's treatment (e.g., identifying goals, learning strategies to support their child) and reported on their feelings of stress using the Parenting Stress Index-4, Short Form (PSI-4), as well as their feelings of satisfaction and efficacy as a parent on the Parenting Sense of Competence (PSOC) scale. A linear mixed model evaluated the differences in stress and competence from baseline to each assessment period through follow-up. There were no significant differences between groups in stress or competence ratings; however, there were within-group changes in both treatment arms over the course of the trial. In both groups, parent stress decreased, and competence increased over time, continuing to suggest that behavioral analytic intervention for young children with autism can promote positive parent outcomes. ","167"
"36","Glutathione + Vitamin C + N-Acetylcysteine",,"Autism Spectrum Disorder",,,"275"
"37","Transcranial Direct Current Stimulation (tDCS)",,"ASD",,,"276"
"38","Oxytocin (intranasal)",,"Social and repetitive behaviors","Intranasal administration of oxytocin is emerging as a potential pharmacological option for mitigating social difficulties and regulating stress in autism spectrum disorder. However, initial single-dose and multiple-dose trials showed mixed results, with some demonstrating improvements in social and repetitive behavior and others showing no benefit over placebo. This perspective aims to elucidate factors contributing to this variability and to highlight pitfalls and opportunities in the field. We identified two major factors: design-related elements and individual participant characteristics. Pertaining to design-related elements, optimal dosing regimens have yet to be established, but appear to favor moderate intervention durations (i.e., 4-6 weeks) with intermittent and intermediate dosing (i.e., 24-32 IU every other day). Also, the context of the intervention seems crucial, as enhanced outcomes are mainly observed when oxytocin administration is paired with a socially stimulating and supporting environment. In addition, more adequate outcome measures have to be established to effectively assess oxytocin's impact, including behavioral scales and objective biophysiological markers tapping into stress and neurophysiological regulation. Future research should also account for individual participant differences in biological sex, developmental stage and cognitive and adaptive functioning, and incorporate (epi)genetic screening to identify responders. Overall, refining study designs and personalizing intervention protocols are essential for optimizing oxytocin's prosocial and anxiolytic effect in autism. ",,"88"
"39","Early Start Denver Model (ESDM)",,"ASD",,,"278"
"40","Micronutrients in the treatment of mental health disorders in children and adolescents",,"Mental health",,,"279"
"41","Nonpharmacological interventions for sleep problems in children and adolescents",,"Sleep",,,"22"
"42","Repetitive Transcranial Magnetic Stimulation (rTMS)",,"Atypical sensory reactivity",,,"281"
"43","Artificial intelligence-powered wearable EEG neurofeedback",,"Language",,,"282"
"44","Animal-assisted intervention (AAI) + psychosocial treatment as usual (TAU)",,"Hypothalamic-pituitary-adrenal (HPA) axis reactivity and regulation","Cortisol (ug/dL)",,"283"
"45","Social skills group training (KONTAKT) for Chinese autistic children aged 8-12 years.",,"Social skills","Contextual Assessment of Social Skills (CASS)",,"284"
"46","Neurofeedback combined with learning style profile intervention training in children with high-functioning autism (HFA)",,"Quality of life","Autism Behavior Checklist (ABC), Autism Treatment Evaluation Checklist (ATEC), Social Responsiveness Scale (SRS), Pediatric Quality of Life (PedsQL)",,"285"
"47","Parent-child music therapy + ABA",,"ASD symptoms",,,"272"
"49","Internet-delivered cognitive behavioral therapy for anxiety in autistic youth (iCBT-Email) vs. Internet-delivered cognitive behavioral therapy for anxiety in autistic youth (iCBT-Video)",,"Anxiety","Child Anxiety Rating Scale (CARS), Social Responsiveness Scale (SRS), Clinical Global Impression of Severity (CGI-S), Clinical Global Impression of Improvement (CGI-I)",,"289"
"50","Internet-based cognitive behavioral therapy for insomnia (iCBT-I)",,"Sleep problems","Insomnia Severity Index",,"241"
"52","Sleeping Sound Autism",,"Sleep",,,"292"
"53","Lovastatin + minocycline",,"Fragile X syndrome",,,"167"
"54","Project ImPACT (telehealth)",,"Expressive language","Parent-mediated, naturalistic developmental behavioral interventions (NDBIs) are a promising approach for supporting social communication development in young autistic children. This study examined the effect of telehealth delivery of a parent-mediated NDBI, Project ImPACT, on children's expressive language ability using a randomized control trial with intent-to-treat analysis. Sixty-four young autistic children and their primary caregiver were matched on age and developmental quotient and randomly assigned to receive 6 months of therapist-assisted Project ImPACT (i.e., telehealth coaching), self-directed Project ImPACT, or an active control. Parent-child interactions were recorded at intake and immediately post-treatment, and the children's expressive language skills were assessed at intake and a 9-month follow-up using standardized measures. Although there was no total effect of treatment group assignment on child outcomes, a serial mediation analysis revealed that therapist-assisted ImPACT had an indirect effect on children's expressive language ability at follow-up through their parents' use of the intervention strategies and their intentional communication immediately post-treatment. Findings support Project ImPACT's program theory and highlight the importance of coaching in achieving positive outcomes when delivered via telehealth. ","Parent-mediated, naturalistic developmental behavioral interventions (NDBIs) are a promising approach for supporting social communication development in young autistic children. This study examined the effect of telehealth delivery of a parent-mediated NDBI, Project ImPACT, on children's expressive language ability using a randomized control trial with intent-to-treat analysis. Sixty-four young autistic children and their primary caregiver were matched on age and developmental quotient and randomly assigned to receive 6 months of therapist-assisted Project ImPACT (i.e., telehealth coaching), self-directed Project ImPACT, or an active control. Parent-child interactions were recorded at intake and immediately post-treatment, and the children's expressive language skills were assessed at intake and a 9-month follow-up using standardized measures. Although there was no total effect of treatment group assignment on child outcomes, a serial mediation analysis revealed that therapist-assisted ImPACT had an indirect effect on children's expressive language ability at follow-up through their parents' use of the intervention strategies and their intentional communication immediately post-treatment. Findings support Project ImPACT's program theory and highlight the importance of coaching in achieving positive outcomes when delivered via telehealth. ","167"
"55","Repetitive transcranial magnetic stimulation (rTMS) over the left dorsolateral prefrontal cortex (DLPFC)",,"Autism Spectrum Disorder","Autism Diagnostic Observation Schedule (ADOS), Autism Diagnostic Interview-Revised (ADI-R)",,"6"
"56","Ibudilast + bumetanide (STP1)",,"ASD Phenotype 1",,,"297"
"57","Eye Movement Desensitization and Reprocessing (EMDR) with Finger Movements",,"Guilt",,,"298"
"58","Radically open dialectical behaviour therapy (RO DBT)",,"Overcontrol",,,"299"
