treatment_name,liquid_available,odt_available,first_author,doi,commercial_affiliation,publication_date,journal,study_type,duration,sample_size,gender_ratio,age_range,dose_range,primary_outcome_area,primary_outcome_measures,primary_results,secondary_outcome_area,secondary_outcome_measures,secondary_results,side_effects,safety_rating,dropout_rate,race_ethnicity,notes,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
Anodal transcranial direct current stimulation (tDCS),,,"Amatachaya, Anuwat",10.1155/2014/173073,No conflicts of interest. ,October 2014,Behavioural Neurology,Randomized Double-blind Placebo Controlled ,"8 weeks total (5 consecutive days tDCS, 1 week assessment, 4-week washout, 5 consecutive days days of tDCS)",20,100% M,5-8 y,"1mA anodal tDCS targeting left dorsolateral prefrontal cortex (DLPFC), or sham (placebo) tDCS",,"CARS, ATEC, CGAS, CGI-I","Greater pre to posttreatment decrease in CARS score that was maintained for 7 days post treatment (end of trial). Significant improvement CGI-I in the tDCS compared to sham group. Significant change in in total ATEC, health and behavioral problems, sociability, and sensory/cognitive awareness. No change in language ATEC. Statistical increase in CGAS in the active group compared to the sham group. ",Adverse effects,,,No AEs in either group,,,Not reported,Results of this study are not explained very clearly. ,low risk - Computer generated randomization in 1:1 ratio in blocks of four randomizations.,"Unclear risk - The tDCS was masked by opaque cover during stimulation. Power indicator was lit up during active and sham stimulation. ""However, in sham simulation the current was discontinued after 30 seconds while the power indicator remained.""","Unclear risk - The authors state the trial was ""double blinded"", but do not specify who was blinded.","Unclear risk - The authors state the trial was ""double blinded"", but do not specify who was blinded.","High risk - Statistical data on rates of adverse effects was not provided. CGI-severity baseline scores provided, but no endpoint scores. ","Unclear risk - Authors state that there were no adverse effects, but do not include data for this. ",
Arbaclofen,Yes,No,"Veenstra-VanderWeele, Jeremy",10.1038/npp.2016.237,"Seaside Therapeutics, Roche, Novartis, SynapDx, Forest, Springer and wiley. ","November 9, 2016",Neuropsychopharmacology,Randomized Double-blind Placebo Controlled  ,12 weeks ,150,124 M: 26 F,5-21 y; mean: 11 y,,Social behaviors. ,ABC-C Social withdrawal/Lethargy,No significant difference between the arbaclofen and placebo tx groups. ,"Social behaviors, irritability, anxiety, attention/hyperactivity. ","CGI-I, CGI-S, Vineland-II Socialization, Visual Analog Scale-Anxiety and Disruptive, ADHD-IV. Exploratory measures: ABC-C (all subscales), Parenting stress Index, Vineland-II Maldaptive behavior and communication, CSHQ-Total & Daytime sleepiness, Sensory Profile Score",There was improvement on the CGI of Severity and greater improvement on the Vineland Adaptive Behavior Scales II socialization domain in the arbaclofen treatment group.,"Generally well tolerated. Side effects that led to discontinuation were suicidal ideation, aggression, emotional distress, sleep disorder, oculogyric crisis, dyskinesia, heaviness, and rash. ","10 participants withdrew due to AEs. There was an instance of suicidal ideation in the arbaclofen treatment group, which led to discontinuation of drug. ","n=20 (15 Arbaclofen, 5 Placebo)",96 White Non-Hispanic; 19 White Hispanic; 17 African American; 8 Asian; 10 Other,,Low risk - centrally generated randomization list,Low Risk - Identical oral disintegrating tablets of arbaclofen or placebo. The titration schedule was the same for placebo and arbaclofen.,,Unclear risk ,Low risk - All data reported. ,"Low risk - All outcome measures were reported, even insignificant findings. Serious adverse effects were stated and dropouts due to adverse effects were also noted. ","Three authors received research funding and have consulted for seaside therapeutics. MC, KW-B, PPW, and RLC were employees of Seaside Therapeutics at the time of the study. MFB and RLC wre co-founders of Seaside Therapeutics. "
Arbaclofen (STX209),Yes,No,"Delahunty, C",,,2013,American Academy of Pediatrics,RCT - Phase 2,12 weeks ,150,124 M: 26 F,5-21 y,"max: 10 mg 3x/d for 5-11y, 15 mg 3x/d for 12-21 y",Social behaviors. ,ABC lethargy/social withdrawal,No significant improvement with treatment. ,Autism severity and social behaviors,"CGIS severity and improvement, Socialization & Communication scales of VABS","CGIS severity improved more in the arbaclofen group. Other outcome measures showed no improvement, except for the VABS socialization subscale in 'higher functioning' patients. ","Well tolerated. Aggression, somnolence, sleep disturbances. ",1 serious AE in arbaclofen group (suicidal ideation). ,n=20,,,,,,,,,
Arbaclofen (STX209),Yes,No,"Berry-Kravis, EM",10.1126/scitranslmed.3004214,No conflicts of interest,2012,Science Translational Medicine,Randomized Double-blind Placebo Controlled  - Pilot,15 months,63,55 M: 8 F,6-39 y,"max: 10 mg BID for children, 10 mg 3x/d for adults",Irritability in fragile x syndrome (FXS),ABC-irritability,No significant improvement in ABC scores with treatment. ,Neurobehavioral function in FXS,"CGIS, ABC, VABS, SRS, Repetitive Behavior Scale-revised, Child and Adolescent Symptom inventory Anxiety scale, ADHD Rating Scale-IV, VAS, vocabulary and short term/working memory",VAS problem behavior rating scores were better during arbaclofen treatment. Social avoidance (ABC) improved significantly more during arbaclofen treatment. Participants with the most severe social impairments improved more on the VABS socialization scale and the CGIS.  ,Well tolerated. Sedation and headache. ,Generally safe,,,,,,,,,,
Aripiprazole,Yes ,"Yes (vanilla, peppermint)","Ichikawa, Hironobu",10.1007/s10578-016-0704-x,3 authors are Employees of Otsuka Pharmaceutical Co. ,"December 21, 2016",Child Psychiatry and Human Development,Randomized Double-blind Placebo Controlled  ,8 weeks,92,17 F: 75 M,6-17 y; mean: 10 y,1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0),Irritability,Caregiver-rated ABC-I irritability subscale score ,Flexible dose aripiprazole is shown to reduce varying symptoms of irritability in children with ASD-- as measured by ABC-I. ,,"Clinical Global Impressions-Improvement (CGI-I Score), other ABC-J subscales, CGI-S, CGAS, and Y-BOCS.",Aripiprazole can improve clinician-rated CGI-I scores in children with ASD. ,Well tolerated with no serious AEs. Somnolence in 24 patients treated w/ the medication. Serious heat disorder in patient receiving the placebo. ,"Generally safe. Vital signs, body weight, and C-SSRS collected at every visit ",0% Aripiprazole; 6.7% Placebo,Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ,"This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. ",Low risk - Computer generated at central location.,Unclear risk - Not reported. ,Unclear risk - ,Low risk - Participants and clinicians were blinded to the treatment allocation,Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",
Aripiprazole,Yes,"Yes (vanilla, peppermint)","Findling, Robert",,"Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp",January 2014,Journal of Clinical Psychiatry,Randomized placebo controlled relapse prevention trial,42 Weeks (Phase 1: 13-26 weeks; Phase 2: 16 weeks),85,17 F: 68 M,6-17 y; Mean: 10 y,"2-15 mg/d, flexible dose; Mean dose: ",,Relapse time during maitenance therapy. ,"The difference in time to relapse between aripiprozole and placebo, during maintenance therapy, was not statistically significant. ",Irritability. ,Clinical Global Impressions-Improvement (CGI-I) and Aberrant Behavior Checklist (ABC-I Scores),No significant difference in the mean change in CGI-I and ABC-I scores. ,"Mild side effects. Common side effects included weight gain, somnolence, vomiting, upper respiratory tract infection, constipation, and movement disorder. ",No serious adverse effects. 80% of patients had mild AEs. EPS observed in 7.7% of the treatment group. ,46% Aripiprazole; 57% Placebo ,69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other,"9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. ",,,,,,,
Aripiprazole,Yes,"Yes (vanilla, peppermint)","Marcus, Ronald N. ",,Several authors are affiliated with Otsuka Pharmaceutical Development and Bristol-Myers Squibb. ,November 2009,The American Journal of Child Adolescent Psychiatry,RPCT Fixed-Dose l ,8 Weeks,218,195 M,6-17 y; Mean: 9.7 y,"5, 10, or 15 mg/d",Irritability,Aberrant Behavior Checklist-Irritability subscale (ABC-I) Scores,"""Aripiprazole was effective at reducing irritability in children and adolescents"". The mean ABC-I score for the groups treated with Aripiprazole was significantly lower at week 8 than the placebo group. ",,Clinical Global Impressions-Improvement (CGI-I) Scores ,"Participants treated with Aripiprazole ""demonstrated significantly greater improvements in mean Clinical Global Impressions-Improvement score than placebo at week 8"".",Well tolerated. The most common adverse event was sedation. ,"Generally safe. Two serious adverse events. Presyncope at 5 mg/d, and Aggression at 10 mg/d. ",Drop out rate: 18%; Placebo (n=14); Aripiprazole 5mg (n=9); Aripiprazole 10mg (n=10); Aripiprazole 15mg (n=7),155 White; 50 Black; 6 Asian; 7 Other,,,,,,,,
Aripiprazole,Yes,"Yes (vanilla, peppermint)","Owen, Randall",10.1542/peds.2008-3782,Funding provided by Bristol-Myers Squibb Co and Otsuka Pharmaceutical Co. ,December 2009,American Academy of Pediatrics,Randomized Double-blind Placebo Controlled  ,8 weeks,98,86 M: 12 F,6-17 y; Mean: 8.8-9.7 y,"Flexible dose: 5, 10, or 15 mg/d",Irritability,Caregiver rated ABC-irritability subscale,"""Aripiprazole was significantly more efficacious than placebo at treating irrtability� on the caregiver-rated ABC irritability subscale.""","Hyperactivity, stereotypy, inappropriate speech. Quality of life.","CGI-I; ABC- hyperactivity, stereotypy, inappropriate speech, and lethargy/social withdrawal; YBOCS; PedsQL; response rate; and CGSQ","Significant improvements over placebo on CGI-I scores. Positive results on the ABC hyperactivity, stereotypy, and inappropriate speech subscales. Greater improvement in PedsQL and CGSQ scales. ","Generally well tolerated. 91.5% of aripiprazole pts had treatment emergent Aes. Most common side effects included weight gain, fatigue, somnolence, and vomiting. ",No serious adverse events. ,n=23 (n=Aripiprazole- 5 due to AEs),73 White; 18 Black; 2 Asian; 5 Other,"Bristol-Myers Squibb Company paid over $515 million to the U.S. government to resolve fraudulent marketing and pricing schemes.  This settlement included 7 qui tam actions. The FDA mandated that the package for Abilify carry a ""black box"" warning for use with dementia-related psychosis. BMS knowingly promoted the same and use of Abilify for pediatric use and to treat demntia-related psychosis.  https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html","Low risk - Computer-generated randomization. However, it was prepared by Bristol Myers Squibb, a conflict of interest. Permuted block design. ",High risk - A voice response system called a medication bottle number for each pt. ,"High risk - No report of placebo and aripiprazole forms, colors, or tastes.  ",,"High risk - PedsQL and CGSQ were stated to have had significant improvement in scores. However, the baseline scores, end point scores, or percentages were not recorded. CGI-S scores not reported. ","High risk - PedsQL, CGSQ, or CGI-S quantitative values not reported. Only improvements reported. ",
Aripiprazole and Risperidone,Yes,Yes,"Ghanizadeh, Ahmed",,No conflicts of interest. ,"June 26, 2013",Child Psychiatry and Human Development,Randomized Double-blind Placebo Controlled ; head to head comparison,2 months,59,48 M: 11 F,"4-18, Mean: 9.5 years",Aripiprazole mean: 5.5 mg/d; Risperidone mean: 1.12 mg/d. Max dose for aripiprazole was 15 mg/d and 3 mg/d for risperidone. ,Irritability,Irritability and agitation. Aberrant Behavior Checklist (ABC) scores,Both treatments lowered ABC scores with decreased irritability and agitation. ,,N/A,N/A,"The rate of adverse side effects and events were the same in both groups. Several patients withdrew for severe adverse events. Most common AEs in both treatments were increased appetite, drooling, and drowsiness. ","In the aripiprazole group, 1 participant discontinued due to hospitalization for symptoms, one dropped out due to exacerbation of epilepsy, and one dropped for severe sedation. In the risperidone group, one withdrew from lack of efficacy, one declined to return, and the other one withdrew because of agitation and crying. ",n=3 (aripiprazole); n=3 (risperidone),"""No stratification considering factors, such as age, gender, diagnoses was conducted."" ",The dosage was flexible based on efficacy in the individual subjects. Aripiprazole and risperidone are the only FDA approved medications for treating maladaptive behaviors in autism. ,,,,,,,
Aripiprazole and risperidone,Yes,Yes,"DeVane, C.",10.1002/phar.2271,No conflicts of interest. ,June 2019,Pharmacotherapy,randomized double-blind parallel-group,10 weeks (with optional 12-week extension phase),61,48 M: 13 F,6-17 y (m: 8.3-8.5),aripiprazole: 2-15 mg/d; risperidone: 0.5-3.0 mg/d,severity. irritability,ABC irritability; CGI,"psychiatric measures: All patients significantly improved on the ABC-irritability. Improvement was greater in the risperidone group. Significant improvement on CGI-S scores for both groups. 78% of patients were rated as very much or much improved on the CGI-I at 10 weeks, and all patients were rated as very much or much improved at the end of the extension phase. ",Metabolic/physical measures,"blood samples for: biochemistry profiles, lipid concentrations, hematologic indices, prolactin, and DNA profiling (genetic polymorphisms); SAS, AIMS, BARS","metabolic & physical measures: No treatment differences in blood chemistry, except prolactin. Prolactin levels increased in the risperidone group, decreased in the aripiprazole group. Weight gain was higher in the risperidone group initially, but the difference became insignificant through the extension phase.","aripiprazole: sedation, enuresis, weight gain, somnolence, difficulty sleeping; risperidone: increased appetite, drooling, weight gain ",No serious AEs,n=10 ,38 white; 19 black; 2 mixed (white/black); 1 mixed (white/Native American); 1 Asian,Biomarkers in Autism of Aripiprazole and Risperdione Treatment (BAART),unclear risk - randomization method not noted,low risk - Drugs were formulated in identical capsules and instructions were the same. ,low risk - All research personnel were blinded to treatment and dose. ,"low risk - Physicians, participants, and families were blinded to treatment allocation and dose. ",,,
